_id	datetime	datetime_from	datetime_to	destination_port_name	event	source_id	source_name	time_in_port	vessel_callsign	vessel_flag	vessel_imo	vessel_length	vessel_mmsi	vessel_name	vessel_type
5cac9963c81d023d2836506e	20/03/2019 23:58			Singapore	Arrival	1	vesseltracker				9174244	100	353996000	PACIFIC 68	general_cargo_ship
5cac9963c81d023d2836506f	20/03/2019 23:57			Singapore	Arrival	1	vesseltracker					14	563021460	PIL0T GP57	other
5cac9963c81d023d28365070	20/03/2019 23:57				Arrival	1	vesseltracker				9692521	45	563022710	STAR 1	service_ship
5cac9963c81d023d28365071	20/03/2019 23:57				Arrival	1	vesseltracker					20	566000020	SCDF BLUE SWORDFISH	
5cac9963c81d023d28365072	20/03/2019 23:57				Arrival	1	vesseltracker					10	563040658	SR3548C	
5cac9963c81d023d28365073	20/03/2019 23:56				Arrival	1	vesseltracker				9035735	38	564884000	JET RAIDER	passenger_ship
5cac9963c81d023d28365074	20/03/2019 23:56				Arrival	1	vesseltracker					10	563040290	CKL XI	
5cac9963c81d023d28365075	20/03/2019 23:56				Departure	1	vesseltracker					0	563040040	KENKI 22	
5cac9963c81d023d28365076	20/03/2019 23:56			Batam	Departure	1	vesseltracker				9174517	25	564426000	WATERFRONT 1	passenger_ship
5cac9963c81d023d28365077	20/03/2019 23:56				Arrival	1	vesseltracker				9836804	45	563065560	LUKOIL MARINE II	other_tanker
5cac9963c81d023d28365078	20/03/2019 23:55				Arrival	1	vesseltracker					10	563041450	STK 11	
5cac9963c81d023d28365079	20/03/2019 23:55			Singapore	Arrival	1	vesseltracker				9355654	99	565006000	MARIA COSULICH	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d2836507a	20/03/2019 23:54				Departure	1	vesseltracker				9087166	21	563561000	MV.GOLDEN IMAGE	passenger_ship
5cac9963c81d023d2836507b	20/03/2019 23:54				Departure	1	vesseltracker					53	564269000	LITA RANGER	passenger_ship>passenger_landing_craft
5cac9963c81d023d2836507c	20/03/2019 23:54				Arrival	1	vesseltracker					12	563066790	KENKI 36	
5cac9963c81d023d2836507d	20/03/2019 23:53				Arrival	1	vesseltracker				8928466	26	563000660	SINDO 6	passenger_ship
5cac9963c81d023d2836507e	20/03/2019 23:52			Singapore	Arrival	1	vesseltracker				9732113	38	565263000	HORIZON 9	passenger_ship
5cac9963c81d023d2836507f	20/03/2019 23:52				Arrival	1	vesseltracker					10	563040410	KANLIAN 39	
5cac9963c81d023d28365080	20/03/2019 23:52				Arrival	1	vesseltracker					10	563041449	STK 12	
5cac9963c81d023d28365081	20/03/2019 23:52				Arrival	1	vesseltracker				9478573	190	354520000	TTM PHOENIX	bulk_carrier
5cac9963c81d023d28365082	20/03/2019 23:51			Laem Chabang 	Arrival	1	vesseltracker				9205562	114	567168000	NORDANA SOPHIE	general_cargo_ship
5cac9963c81d023d28365083	20/03/2019 23:50				Departure	1	vesseltracker					10	563040110	YORK ACE	
5cac9963c81d023d28365084	20/03/2019 23:49				Departure	1	vesseltracker					30	563015540	MARINA MEGA	tug
5cac9963c81d023d28365085	20/03/2019 23:48				Arrival	1	vesseltracker					12	563019310	MPAII	service_ship>pilot_vessel
5cac9963c81d023d28365086	20/03/2019 23:48				Departure	1	vesseltracker				9289702	31	564611000	HERON SPIRIT	passenger_ship
5cac9963c81d023d28365087	20/03/2019 23:48				Arrival	1	vesseltracker					35	563021470	MARINE SUCCESS	other_tanker
5cac9963c81d023d28365088	20/03/2019 23:48				Departure	1	vesseltracker					0	563021140	SEASWIFT PROVIDENCE	
5cac9963c81d023d28365089	20/03/2019 23:47				Arrival	1	vesseltracker				9662667	60	566849000	ENCHANT	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d2836508a	20/03/2019 23:47				Arrival	1	vesseltracker				9771614	33	563004100	MAJESTIC 9	passenger_ship
5cac9963c81d023d2836508b	20/03/2019 23:46				Arrival	1	vesseltracker					9	563036630	GP02	
5cac9963c81d023d2836508c	20/03/2019 23:45				Departure	1	vesseltracker					10	563040537	KANLIAN 13	
5cac9963c81d023d2836508d	20/03/2019 23:45				Departure	1	vesseltracker					0	563013830	GP42	
5cac9963c81d023d2836508e	20/03/2019 23:44				Departure	1	vesseltracker					28	563063680	GC 8	
5cac9963c81d023d2836508f	20/03/2019 23:44				Arrival	1	vesseltracker					10	563041163	SC3904J	
5cac9963c81d023d28365090	20/03/2019 23:44				Departure	1	vesseltracker					10	563047080	SEA OSPREY	
5cac9963c81d023d28365091	20/03/2019 23:43			Singapore	Arrival	1	vesseltracker				9448853	98	477217100	DEBBIE	gas_tanker>lpg_tanker
5cac9963c81d023d28365092	20/03/2019 23:43				Departure	1	vesseltracker					10	563047070	SEA FALCON	
5cac9963c81d023d28365093	20/03/2019 23:43				Departure	1	vesseltracker					0	563018010	SEASWIFT EXPLORER	
5cac9963c81d023d28365094	20/03/2019 23:43				Departure	1	vesseltracker					15	564654000	GP 43	passenger_ship
5cac9963c81d023d28365095	20/03/2019 23:43			Singapore	Arrival	1	vesseltracker				8844191	33	564215000	MARINA SWIFT	tug
5cac9963c81d023d28365096	20/03/2019 23:42			Ko Samui	Arrival	1	vesseltracker				9784350	213	311000637	SILVER MUSE	passenger_ship>cruise_ship
5cac9963c81d023d28365097	20/03/2019 23:42			Singapore	Departure	1	vesseltracker				9520273	105	538003718	ALICE	oil_and_chemical_tanker>chemical_oil_products_tanker
5cac9963c81d023d28365098	20/03/2019 23:42			Batam	Departure	1	vesseltracker				9149639	30	564331000	ASEAN RAIDER II	passenger_ship
