,_id,datetime,event,vessel_name
0,5cb10a8bcf504e43d08ffac5,20/03/2019 23:30,Arrival,MAJESTIC 9
1,5cb10a8bcf504e43d08ffac6,20/03/2019 23:44,Departure,GP 43
2,5cb10a8bcf504e43d08ffac7,20/03/2019 23:51,Departure,JOLLY RAMOS
3,5cb10a8bcf504e43d08ffac8,20/03/2019 23:25,Departure,SINDO EMPRESS
4,5cb10a8bcf504e43d08ffac9,20/03/2019 23:38,Departure,YORK 202
5,5cb10a8bcf504e43d08ffaca,20/03/2019 22:13,Departure,NOBLE SCOUT
6,5cb10a8bcf504e43d08ffacb,20/03/2019 22:09,Arrival,YORK 202
7,5cb10a8bcf504e43d08ffacc,20/03/2019 21:56,Departure,STAR DISCOVERY
8,5cb10a8bcf504e43d08ffacd,20/03/2019 21:25,Departure,SEA PROSPERITY
9,5cb10a8bcf504e43d08fface,20/03/2019 21:25,Arrival,GP56
10,5cb10a8bcf504e43d08ffacf,20/03/2019 21:17,Departure,CAST JEWEL
11,5cb10a8bcf504e43d08ffad0,20/03/2019 20:54,Departure,GP61
12,5cb10a8bcf504e43d08ffad1,20/03/2019 21:10,Departure,GP 48
13,5cb10a8bcf504e43d08ffad2,20/03/2019 19:51,Arrival,GP 48
14,5cb10a8bcf504e43d08ffad3,20/03/2019 19:17,Arrival,STAR DISCOVERY
15,5cb10a8bcf504e43d08ffad4,20/03/2019 18:42,Departure,RADIANCE
16,5cb10a8bcf504e43d08ffad5,20/03/2019 18:17,Departure,ENCHANT
17,5cb10a8bcf504e43d08ffad6,20/03/2019 17:20,Departure,PUTRI TIGA
18,5cb10a8bcf504e43d08ffad7,20/03/2019 17:10,Arrival,PACIFIC PRIDE
19,5cb10a8bcf504e43d08ffad8,20/03/2019 15:57,Departure,DEMURE
20,5cb10a8bcf504e43d08ffad9,20/03/2019 14:49,Departure,PILOT GP47
21,5cb10a8bcf504e43d08ffada,20/03/2019 14:32,Arrival,PUTRI TIGA
22,5cb10a8bcf504e43d08ffadb,20/03/2019 14:27,Arrival,NOBLE KNIGHT
23,5cb10a8bcf504e43d08ffadc,20/03/2019 13:34,Departure,MAST
24,5cb10a8bcf504e43d08ffadd,20/03/2019 13:43,Arrival,PSA HULK
25,5cb10a8bcf504e43d08ffade,20/03/2019 13:00,Departure,SC8228J
26,5cb10a8bcf504e43d08ffadf,20/03/2019 12:57,Departure,PUTRI TIGA
27,5cb10a8bcf504e43d08ffae0,20/03/2019 12:58,Departure,NOBLE VALOUR
28,5cb10a8bcf504e43d08ffae1,20/03/2019 13:13,Arrival,SC4614D
29,5cb10a8bcf504e43d08ffae2,20/03/2019 12:34,Departure,GP61
30,5cb10a8bcf504e43d08ffae3,20/03/2019 12:16,Departure,GP61
31,5cb10a8bcf504e43d08ffae4,20/03/2019 11:29,Departure,SC4614D
32,5cb10a8bcf504e43d08ffae5,20/03/2019 11:10,Arrival,STAR VOYAGER
33,5cb10a8bcf504e43d08ffae6,20/03/2019 10:41,Arrival,RIGHTEOUS
34,5cb10a8bcf504e43d08ffae7,20/03/2019 10:23,Arrival,SC 4774D
35,5cb10a8bcf504e43d08ffae8,20/03/2019 10:14,Departure,STAR VOYAGER
36,5cb10a8bcf504e43d08ffae9,20/03/2019 09:56,Departure,RADIANCE
37,5cb10a8bcf504e43d08ffaea,20/03/2019 09:44,Arrival,SWIFT EAGLE
38,5cb10a8bcf504e43d08ffaeb,20/03/2019 09:41,Departure,RIGHTEOUS
39,5cb10a8bcf504e43d08ffaec,20/03/2019 09:29,Arrival,SC4614D
40,5cb10a8bcf504e43d08ffaed,20/03/2019 09:34,Arrival,SINDO 12
41,5cb10a8bcf504e43d08ffaee,20/03/2019 09:24,Departure,QUEEN STAR 8
42,5cb10a8bcf504e43d08ffaef,20/03/2019 09:16,Arrival,HORIZON 6
43,5cb10a8bcf504e43d08ffaf0,20/03/2019 08:56,Arrival,SEA HAWK
44,5cb10a8bcf504e43d08ffaf1,20/03/2019 09:14,Arrival,RELIANT
45,5cb10a8bcf504e43d08ffaf2,20/03/2019 08:50,Departure,SC4310B
46,5cb10a8bcf504e43d08ffaf3,20/03/2019 08:59,Arrival,NAUTICAL COMPASS
47,5cb10a8bcf504e43d08ffaf4,20/03/2019 09:00,Arrival,JET FLYTE I
48,5cb10a8bcf504e43d08ffaf5,20/03/2019 08:51,Arrival,SEA HAWK
49,5cb10a8bcf504e43d08ffaf6,20/03/2019 08:41,Arrival,SEA HAWK
50,5cb10a8bcf504e43d08ffaf7,20/03/2019 08:43,Arrival,MAJESTIC FAITH
51,5cb10a8bcf504e43d08ffaf8,20/03/2019 08:15,Departure,SC4614D
52,5cb10a8bcf504e43d08ffaf9,20/03/2019 07:56,Departure,RELIANT
