_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
5cb2544acf504e43d08ffb32,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V5931,,Flag of Singapore,,8029583,58x28m,563009000,AN WEI,Platform supply vessel
5cb2544acf504e43d08ffb33,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,5BGT2,,Flag of Cyprus,,9164031,230x32m,210138000,QUEEN OF NETHERLANDS,Dredger
5cb2544acf504e43d08ffb34,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V9857,,Flag of Singapore,,9651864,90x16m,566530000,PARAGON,Tanker
5cb2544acf504e43d08ffb35,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,3h,9V7013,,Flag of Singapore,,9058919,65x7m,564434000,PACIFIC PRIDE,Chemical carrier
5cb2544acf504e43d08ffb36,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,4h,9V3108,,Flag of Singapore,,9727338,31x11m,565951000,RELIANT,Pusher/Tug
5cb2544acf504e43d08ffb37,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,8h,SP1323E,,Flag of Singapore,,,15x4m,563010650,PILOT BOAT GP33,Ship
5cb2544acf504e43d08ffb38,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V5151,,Flag of Singapore,,9131606,76x14m,563005250,GOLDEN FAITH,Oil tanker
5cb2544acf504e43d08ffb39,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,3h,9VHF5,,Flag of Singapore,,9647904,69x14m,566685000,PACIFIC ENERGY 168,Tanker
5cb2544acf504e43d08ffb3a,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,6h,9V3749,,Flag of Singapore,,9060651,33x7m,563751000,OCEAN RAIDER,Passenger ship
5cb2544acf504e43d08ffb3b,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,< 1h,9V3111,,Flag of Singapore,,9727675,32x13m,566133000,RESILIENT,Pusher/Tug
5cb2544acf504e43d08ffb3c,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V3654,,Flag of Singapore,,2113536,,563036640,PILOT GP03,Ship
5cb2544acf504e43d08ffb3d,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,2d 15h,A,,Flag of Singapore,,,18x4m,563015390,WEST SQUADRON 1,Ship used by divers
5cb2544acf504e43d08ffb3e,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,< 1h,9VFC6,,Flag of Singapore,,9704037,38x10m,563033240,SENTEK 35,Tanker
5cb2544acf504e43d08ffb3f,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V5752,,Flag of Singapore,,9466881,190x32m,563039600,ORCHARD QUAY,Bulk carrier
5cb2544acf504e43d08ffb40,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V8618,,Flag of Singapore,,9587881,54x12m,563708000,VALIANT III,Oil tanker
5cb2544acf504e43d08ffb41,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,1h,YD4761,,Flag of Indonesia,,9704336,22x7m,525003485,TB CAPRCORN 106,Pushboat
5cb2544acf504e43d08ffb42,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V9585,,Flag of Singapore,,,15x5m,563019670,MPA VII,Passenger ship
5cb2544acf504e43d08ffb43,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,2d 18h,E6LA2,,Flag of Niue,,,17x6m,542341110,SUNLIGHT EROS,Cargo ship
5cb2544acf504e43d08ffb44,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,< 1h,9V3269,,Flag of Singapore,,9764609,39x9m,564346000,HORIZON 6,High speed craft
5cb2544acf504e43d08ffb45,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,7h,9V5584,,Flag of Singapore,,,32x8m,563063740,MARINA EMERALD,Pusher/Tug
5cb2544acf504e43d08ffb46,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,17h,9MEJ4,,Flag of Malaysia,,9189122,227x36m,533656000,BUNGA KENANGA,Oil tanker
5cb2544acf504e43d08ffb47,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,< 1h,LAQT7,,Flag of Norway,,9447665,75x17m,258004000,SKANDI ATLANTIC,Supply vessel
5cb2544acf504e43d08ffb48,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V3566,,Flag of Singapore,,9315678,26x10m,563034180,NOBLE SCOUT,Pusher/Tug
5cb2544acf504e43d08ffb49,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,0h,9V6615,,Flag of Singapore,,8858946,33x9m,563428000,MARINA PHEVOS,Pusher/Tug
5cb2544acf504e43d08ffb4a,,,20/03/2019 23:49,,,,Arrival,,,3,fleetmon,1h,SP1340E,,Flag of Singapore,,8819548,15x4m,563013830,GP42,Pilot tender
