Cluster ID,confidence_score,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
0,0.423723698,5cb2544acf504e43d0901168,,,20/03/2019 09:56,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,KENKI 20,
0,0.423723698,5cb2544acf504e43d0901d1e,191,AIS,20/03/2019 09:54,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1870278,,0,563040038,KENKI 20,
1,0.723818183,5cb2544acf504e43d09010b2,,,20/03/2019 10:55,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,HACHI,
1,0.723818183,5cb2544acf504e43d0901c75,52,AIS,20/03/2019 10:55,,,,Departure,417,Singapore,1,vesseltracker,,,,,2126709,,25,518100473,HACHI,
2,0.423723698,5cb2544acf504e43d0901c71,191,AIS,20/03/2019 10:57,,,,Arrival,417,Singapore,1,vesseltracker,,,107,,280658,9343297,27,563920000,STAR VOYAGER,tug
2,0.423723698,5cb2544acf504e43d09010b3,,,20/03/2019 10:54,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,STAR VOYAGER,
3,0.423723698,5cb2544acf504e43d0901167,,,20/03/2019 09:56,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,HORIZON 6,
3,0.423723698,5cb2544acf504e43d0901d16,191,AIS,20/03/2019 09:57,BATAM,886,Batam,Departure,,,1,vesseltracker,,,45,,1854056,9764609,39,564346000,HORIZON 6,passenger_ship
4,0.423723698,5cb2544acf504e43d0901d13,191,AIS,20/03/2019 09:58,,,,Departure,,,1,vesseltracker,,,,,2094681,,20,563027970,DM 55,
4,0.423723698,5cb2544acf504e43d0901166,,,20/03/2019 09:56,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,DM 55,
5,0.423723698,5cb2544acf504e43d0901c76,121,AIS,20/03/2019 10:55,SGSIN > MYPTP,417,Singapore,Arrival,870,Tanjung Pelepas,1,vesseltracker,,,38131,,51788,9326706,215,636091273,NAJADE,container_ship
5,0.423723698,5cb2544acf504e43d09010b4,,,20/03/2019 10:54,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,NAJADE,
